service_order_id,equipment_serial,order_date,completion_date,order_type,description,technician_notes,parts_referenced,status
SO-200021,SN-10007,2016-06-26,2016-07-04,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 21 at Laval Facility,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Open
SO-200022,SN-10007,2015-08-05,2015-08-09,Inspection,Inspection on Tetra Brik Aseptic 21 at Laval Facility,,,Technically Complete
SO-200023,SN-10007,2014-10-17,2014-10-21,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 21 at Laval Facility,Emergency stop traced to sensor fault. HMI panel showing age.,,Technically Complete
SO-200024,SN-10007,2016-09-13,,Inspection,Inspection on Tetra Brik Aseptic 21 at Laval Facility,,,Closed
SO-200025,SN-10008,2027-03-17,2027-03-19,Kit Installation,Kit Installation on Tetra Brik Aseptic 19 at Stockholm Dairy,Applied kit. Old parts removed and returned.,3495770-03001,Technically Complete
SO-200026,SN-10008,2021-12-21,,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 19 at Stockholm Dairy,,,Technically Complete
SO-200027,SN-10008,2016-12-29,,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 19 at Stockholm Dairy,PM completed. Recommended servo motor assessment at next visit.,,Open
SO-200028,SN-10008,2019-06-09,2019-06-09,Inspection,Inspection on Tetra Brik Aseptic 19 at Stockholm Dairy,,,Closed
SO-200029,SN-10008,2019-11-22,2019-12-05,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 19 at Stockholm Dairy,,,Technically Complete
SO-200030,SN-10008,2019-12-10,2019-12-16,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 19 at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Closed
SO-200031,SN-10009,2022-06-17,2022-06-23,Upgrade,Upgrade on Tetra Pak C3 Homogenizer at Hohhot Plant 3,,3496100-01005,Closed
SO-200032,SN-10009,2020-04-15,2020-04-19,Inspection,Inspection on Tetra Pak C3 Homogenizer at Hohhot Plant 3,,,Closed
SO-200033,SN-10009,2018-03-24,2018-03-28,Emergency Repair,Emergency Repair on Tetra Pak C3 Homogenizer at Hohhot Plant 3,,,Open
SO-200034,SN-10009,2021-07-10,2021-07-11,Preventive Maintenance,Preventive Maintenance on Tetra Pak C3 Homogenizer at Hohhot Plant 3,Routine check OK. Customer asked about available upgrades.,,Technically Complete
SO-200035,SN-10009,2022-10-22,2022-10-27,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Hohhot Plant 3,Kit 3495880-02001 applied. Customer signed off.,3495880-02001,Closed
SO-200036,SN-10009,2020-08-25,2020-08-25,Upgrade,Upgrade on Tetra Pak C3 Homogenizer at Hohhot Plant 3,,3495880-02001,Closed
SO-200037,SN-10010,2030-03-24,2030-04-01,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Vittel Factory,Kit 3496400-02001 applied. Customer signed off.,3496400-02001,Technically Complete
SO-200038,SN-10010,2029-01-09,2029-01-18,Corrective Maintenance,Corrective Maintenance on Tetra Pak D8 Separator at Vittel Factory,Fixed conveyor jam. Belt tensioner needs attention at next PM.,,Closed
SO-200039,SN-10010,2026-08-19,2026-08-27,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Vittel Factory,Applied kit. Old parts removed and returned.,3496200-02003,Open
SO-200040,SN-10011,2025-06-19,2025-06-19,Kit Installation,Kit Installation on Cap Application Unit A8 at Stockholm Dairy,Completed installation. Minor alignment adjustment needed post-install.,3496500-01004,Closed
SO-200041,SN-10011,2025-01-27,,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Open
SO-200042,SN-10011,2026-06-15,2026-06-19,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,Maintenance done per TPMS schedule. No issues found.,,Open
SO-200043,SN-10011,2020-01-27,2020-01-29,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,Maintenance done per TPMS schedule. No issues found.,,Open
SO-200044,SN-10011,2026-03-16,2026-03-26,Upgrade,Upgrade on Cap Application Unit A8 at Stockholm Dairy,,3496500-01004,Closed
SO-200045,SN-10011,2017-11-15,2017-11-22,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,PM completed. Recommended servo motor assessment at next visit.,,Closed
SO-200046,SN-10011,2019-03-21,2019-03-27,Upgrade,Upgrade on Cap Application Unit A8 at Stockholm Dairy,,3495990-01001,Open
SO-200047,SN-10011,2026-03-18,,Emergency Repair,Emergency Repair on Cap Application Unit A8 at Stockholm Dairy,,,Closed
SO-200048,SN-10012,2017-07-19,2017-07-29,Inspection,Inspection on Tetra Pak A3/Speed at Waikato Processing,,,Technically Complete
SO-200049,SN-10012,2017-08-16,2017-08-18,Upgrade,Upgrade on Tetra Pak A3/Speed at Waikato Processing,,3495880-01003,Technically Complete
SO-200050,SN-10012,2021-12-17,2021-12-27,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Waikato Processing,Applied kit. Old parts removed and returned.,3496500-01003,Closed
SO-200051,SN-10014,2020-07-09,2020-07-13,Inspection,Inspection on Tetra Pak A3/Speed at Laval Facility,,,Closed
SO-200052,SN-10014,2028-12-03,2028-12-14,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Laval Facility,Kit installed but validation pending next production run.,3496100-01004,Closed
SO-200053,SN-10014,2021-12-02,2021-12-16,Emergency Repair,Emergency Repair on Tetra Pak A3/Speed at Laval Facility,,,Closed
SO-200054,SN-10014,2021-08-04,2021-08-12,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Laval Facility,PM completed. Recommended servo motor assessment at next visit.,,Technically Complete
SO-200055,SN-10014,2027-07-18,,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Laval Facility,Completed installation. Minor alignment adjustment needed post-install.,3496200-01002,Closed
SO-200056,SN-10014,2018-11-02,,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Laval Facility,Completed installation. Minor alignment adjustment needed post-install.,3496500-01003,Closed
SO-200057,SN-10014,2028-09-22,2028-10-03,Emergency Repair,Emergency Repair on Tetra Pak A3/Speed at Laval Facility,,,Technically Complete
SO-200058,SN-10014,2020-10-06,2020-10-10,Inspection,Inspection on Tetra Pak A3/Speed at Laval Facility,,,Open
SO-200059,SN-10015,2015-05-17,2015-05-26,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Vittel Factory,PM done. Noted cap applicator showing intermittent faults.,,Closed
SO-200060,SN-10015,2014-05-27,2014-05-27,Inspection,Inspection on Tetra Brik Aseptic 21 at Vittel Factory,,,Closed
SO-200061,SN-10015,2018-06-20,2018-06-21,Kit Installation,Kit Installation on Tetra Brik Aseptic 21 at Vittel Factory,Installed 3495880-01001 per TB instructions. Validated OK.,3495880-01001,Closed
SO-200062,SN-10015,2020-01-03,2020-01-17,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 21 at Vittel Factory,Seal replacement done. Machine running but at reduced speed.,,Technically Complete
SO-200063,SN-10015,2021-02-16,2021-02-20,Inspection,Inspection on Tetra Brik Aseptic 21 at Vittel Factory,,,Closed
SO-200064,SN-10016,2029-05-10,,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200065,SN-10016,2024-09-19,,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,PM completed. Recommended servo motor assessment at next visit.,,Closed
SO-200066,SN-10016,2032-01-03,,Corrective Maintenance,Corrective Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,Seal replacement done. Machine running but at reduced speed.,,Closed
SO-200067,SN-10016,2030-12-13,2030-12-24,Emergency Repair,Emergency Repair on Tetra Pak D8 Separator at Patparganj Delhi,,,Closed
SO-200068,SN-10016,2031-12-12,2031-12-21,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,Standard PM completed. All within spec.,,Open
SO-200069,SN-10018,2020-02-17,,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,,,Open
SO-200070,SN-10018,2022-10-26,,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,,,Closed
SO-200071,SN-10018,2026-06-25,2026-07-07,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,,,Closed
SO-200072,SN-10018,2020-08-24,2020-09-03,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Fixed conveyor jam. Belt tensioner needs attention at next PM.,,Closed
SO-200073,SN-10018,2017-02-04,2017-02-13,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Kit 3495770-01003 applied. Customer signed off.,3495770-01003,Closed
SO-200074,SN-10018,2023-10-16,2023-10-24,Upgrade,Upgrade on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,,3495770-01003,Closed
SO-200075,SN-10019,2028-03-04,2028-03-06,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Routine check OK. Customer asked about available upgrades.,,Technically Complete
SO-200076,SN-10019,2034-03-05,2034-03-11,Inspection,Inspection on Tetra Brik Aseptic 22 at Anand Plant 1,,,Closed
SO-200077,SN-10020,2019-12-31,,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Stockholm Dairy,Applied kit. Old parts removed and returned.,3495770-03004,Closed
SO-200078,SN-10020,2019-08-26,2019-08-31,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Stockholm Dairy,Standard PM completed. All within spec.,,Closed
SO-200079,SN-10020,2019-01-13,2019-01-15,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Stockholm Dairy,Maintenance done per TPMS schedule. No issues found.,,Technically Complete
SO-200080,SN-10020,2021-11-24,2021-12-04,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Stockholm Dairy,Completed installation. Minor alignment adjustment needed post-install.,3495770-03004,Closed
SO-200081,SN-10020,2018-06-09,2018-06-11,Inspection,Inspection on Tetra Classic Aseptic 67 at Stockholm Dairy,,,Technically Complete
SO-200082,SN-10020,2013-04-06,2013-04-15,Emergency Repair,Emergency Repair on Tetra Classic Aseptic 67 at Stockholm Dairy,,,Closed
SO-200083,SN-10020,2016-03-17,2016-03-29,Emergency Repair,Emergency Repair on Tetra Classic Aseptic 67 at Stockholm Dairy,,,Closed
SO-200084,SN-10020,2020-02-02,2020-02-11,Inspection,Inspection on Tetra Classic Aseptic 67 at Stockholm Dairy,,,Closed
SO-200085,SN-10022,2020-12-02,2020-12-11,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Laval Facility,Installed 3496200-02003 per TB instructions. Validated OK.,3496200-02003,Closed
SO-200086,SN-10022,2024-04-16,2024-04-18,Inspection,Inspection on Tetra Pak D8 Separator at Laval Facility,,,Closed
SO-200087,SN-10022,2018-09-04,2018-09-07,Emergency Repair,Emergency Repair on Tetra Pak D8 Separator at Laval Facility,,,Open
SO-200088,SN-10022,2020-06-24,,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Laval Facility,Standard PM completed. All within spec.,,Technically Complete
SO-200089,SN-10022,2020-01-31,2020-02-07,Corrective Maintenance,Corrective Maintenance on Tetra Pak D8 Separator at Laval Facility,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Open
SO-200090,SN-10022,2021-04-06,2021-04-10,Emergency Repair,Emergency Repair on Tetra Pak D8 Separator at Laval Facility,,,Closed
SO-200091,SN-10022,2019-06-09,2019-06-20,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Laval Facility,Applied kit. Old parts removed and returned.,3495880-02003,Closed
SO-200092,SN-10022,2015-10-26,2015-11-06,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Laval Facility,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200093,SN-10023,2023-06-11,,Preventive Maintenance,Preventive Maintenance on Tetra Pak A6 Pasteurizer at Patparganj Delhi,Standard PM completed. All within spec.,,Technically Complete
SO-200094,SN-10024,2028-01-11,2028-01-23,Corrective Maintenance,Corrective Maintenance on Tetra Pak D8 Separator at Stockholm Dairy,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Technically Complete
SO-200095,SN-10024,2033-06-09,2033-06-23,Upgrade,Upgrade on Tetra Pak D8 Separator at Stockholm Dairy,,3496200-02003,Technically Complete
SO-200096,SN-10024,2027-08-28,2027-09-07,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Stockholm Dairy,PM done. Noted cap applicator showing intermittent faults.,,Open
SO-200097,SN-10024,2030-10-09,2030-10-17,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Stockholm Dairy,Applied kit. Old parts removed and returned.,3496400-02001,Technically Complete
SO-200098,SN-10024,2024-11-14,2024-11-26,Inspection,Inspection on Tetra Pak D8 Separator at Stockholm Dairy,,,Closed
SO-200099,SN-10025,2022-11-06,2022-11-19,Upgrade,Upgrade on Tetra Brik Aseptic 21 at Anand Plant 1,,3495770-01002,Closed
SO-200100,SN-10025,2020-06-06,2020-06-10,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 21 at Anand Plant 1,,,Closed
SO-200101,SN-10025,2028-03-02,2028-03-12,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Technically Complete
SO-200102,SN-10025,2026-03-31,2026-04-01,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200103,SN-10025,2018-01-12,2018-01-23,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 21 at Anand Plant 1,,,Closed
SO-200104,SN-10026,2031-05-11,2031-05-14,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Vittel Factory,PM done. Noted cap applicator showing intermittent faults.,,Open
SO-200105,SN-10026,2031-07-06,2031-07-10,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Vittel Factory,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200106,SN-10026,2026-08-18,2026-09-01,Kit Installation,Kit Installation on Tetra Top 3 at Vittel Factory,,,Closed
SO-200107,SN-10026,2030-06-16,2030-06-20,Inspection,Inspection on Tetra Top 3 at Vittel Factory,,,Closed
SO-200108,SN-10027,2019-06-11,2019-06-11,Upgrade,Upgrade on Tetra Top 3 at Gandhinagar Plant 2,,,Closed
SO-200109,SN-10027,2022-12-24,2022-12-29,Upgrade,Upgrade on Tetra Top 3 at Gandhinagar Plant 2,,,Technically Complete
SO-200110,SN-10027,2016-12-31,2017-01-02,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Gandhinagar Plant 2,Seal replacement done. Machine running but at reduced speed.,,Open
SO-200111,SN-10028,2021-12-23,2022-01-03,Inspection,Inspection on Tetra Pak C3 Homogenizer at Anand Plant 1,,,Closed
SO-200112,SN-10028,2021-06-28,,Emergency Repair,Emergency Repair on Tetra Pak C3 Homogenizer at Anand Plant 1,,,Open
SO-200113,SN-10028,2017-01-30,2017-02-01,Upgrade,Upgrade on Tetra Pak C3 Homogenizer at Anand Plant 1,,3495880-02001,Technically Complete
SO-200114,SN-10028,2015-03-06,2015-03-16,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Anand Plant 1,Kit installed but validation pending next production run.,3496200-02001,Closed
SO-200115,SN-10029,2023-04-24,2023-04-30,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Open
SO-200116,SN-10029,2029-01-13,,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Stockholm Dairy,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200117,SN-10029,2030-05-25,2030-06-07,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Closed
SO-200118,SN-10029,2025-09-03,2025-09-06,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Stockholm Dairy,PM completed. Recommended servo motor assessment at next visit.,,Closed
SO-200119,SN-10029,2032-07-12,2032-07-23,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Closed
SO-200120,SN-10029,2026-09-21,2026-10-03,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Closed
SO-200121,SN-10030,2017-03-01,2017-03-06,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Stockholm Dairy,Kit installed but validation pending next production run.,3496100-01005,Open
SO-200122,SN-10030,2017-02-28,2017-03-11,Preventive Maintenance,Preventive Maintenance on Tetra Pak C3 Homogenizer at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Technically Complete
SO-200123,SN-10030,2022-03-11,2022-03-17,Inspection,Inspection on Tetra Pak C3 Homogenizer at Stockholm Dairy,,,Closed
SO-200124,SN-10030,2018-03-31,2018-03-31,Inspection,Inspection on Tetra Pak C3 Homogenizer at Stockholm Dairy,,,Closed
SO-200125,SN-10030,2018-02-21,2018-02-24,Upgrade,Upgrade on Tetra Pak C3 Homogenizer at Stockholm Dairy,,3495880-02001,Closed
SO-200126,SN-10030,2014-07-08,2014-07-11,Upgrade,Upgrade on Tetra Pak C3 Homogenizer at Stockholm Dairy,,3496200-02001,Technically Complete
SO-200127,SN-10030,2018-02-10,2018-02-23,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Stockholm Dairy,Kit installed but validation pending next production run.,3496100-01005,Technically Complete
SO-200128,SN-10031,2021-04-01,2021-04-12,Kit Installation,Kit Installation on Tetra Top 3 at Vittel Factory,,,Open
SO-200129,SN-10031,2024-11-02,,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Vittel Factory,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Open
SO-200130,SN-10031,2025-03-28,2025-03-29,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Vittel Factory,Standard PM completed. All within spec.,,Closed
SO-200131,SN-10031,2023-12-27,2023-12-30,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Vittel Factory,Fixed conveyor jam. Belt tensioner needs attention at next PM.,,Closed
SO-200132,SN-10031,2019-06-19,2019-06-24,Inspection,Inspection on Tetra Top 3 at Vittel Factory,,,Closed
SO-200133,SN-10031,2026-04-16,2026-04-16,Emergency Repair,Emergency Repair on Tetra Top 3 at Vittel Factory,,,Closed
SO-200134,SN-10031,2025-04-30,2025-05-08,Upgrade,Upgrade on Tetra Top 3 at Vittel Factory,,,Closed
SO-200135,SN-10031,2025-05-15,2025-05-28,Kit Installation,Kit Installation on Tetra Top 3 at Vittel Factory,,,Technically Complete
SO-200136,SN-10032,2011-06-30,2011-07-03,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Laval Facility,Maintenance done per TPMS schedule. No issues found.,,Closed
SO-200137,SN-10032,2016-03-13,2016-03-17,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Laval Facility,Installed 3496500-01001 per TB instructions. Validated OK.,3496500-01001,Technically Complete
SO-200138,SN-10032,2014-06-24,2014-06-27,Upgrade,Upgrade on Tetra Brik Aseptic 22 at Laval Facility,,3495770-01003,Closed
SO-200139,SN-10033,2021-05-22,2021-06-04,Preventive Maintenance,Preventive Maintenance on Accumulator 30 at Patparganj Delhi,Standard PM completed. All within spec.,,Closed
SO-200140,SN-10033,2018-04-07,2018-04-14,Upgrade,Upgrade on Accumulator 30 at Patparganj Delhi,,3495990-01002,Closed
SO-200141,SN-10033,2020-11-10,2020-11-11,Preventive Maintenance,Preventive Maintenance on Accumulator 30 at Patparganj Delhi,PM completed. Recommended servo motor assessment at next visit.,,Technically Complete
SO-200142,SN-10033,2020-12-13,2020-12-26,Kit Installation,Kit Installation on Accumulator 30 at Patparganj Delhi,Applied kit. Old parts removed and returned.,3495990-01002,Closed
SO-200143,SN-10033,2024-01-10,2024-01-24,Preventive Maintenance,Preventive Maintenance on Accumulator 30 at Patparganj Delhi,PM completed. Recommended servo motor assessment at next visit.,,Open
SO-200144,SN-10035,2022-02-27,2022-03-03,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Open
SO-200145,SN-10035,2029-01-06,2029-01-19,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Standard PM completed. All within spec.,,Closed
SO-200146,SN-10035,2023-12-17,2023-12-28,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Technically Complete
SO-200147,SN-10035,2024-12-28,2025-01-06,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Emergency stop traced to sensor fault. HMI panel showing age.,,Technically Complete
SO-200148,SN-10035,2025-05-10,2025-05-12,Upgrade,Upgrade on Tetra Brik Aseptic 22 at Anand Plant 1,,3495770-02002,Closed
SO-200149,SN-10036,2023-08-16,2023-08-29,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Gandhinagar Plant 2,Routine check OK. Customer asked about available upgrades.,,Closed
SO-200150,SN-10036,2029-10-22,,Upgrade,Upgrade on Tetra Pak A3/Speed at Gandhinagar Plant 2,,3495880-01003,Closed
SO-200151,SN-10036,2023-05-10,2023-05-17,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Gandhinagar Plant 2,Kit 3495770-02004 applied. Customer signed off.,3495770-02004,Technically Complete
SO-200152,SN-10036,2027-01-05,2027-01-15,Upgrade,Upgrade on Tetra Pak A3/Speed at Gandhinagar Plant 2,,3495880-01003,Open
SO-200153,SN-10036,2030-06-07,2030-06-16,Upgrade,Upgrade on Tetra Pak A3/Speed at Gandhinagar Plant 2,,3495770-03006,Closed
SO-200154,SN-10036,2031-12-21,2031-12-22,Inspection,Inspection on Tetra Pak A3/Speed at Gandhinagar Plant 2,,,Closed
SO-200155,SN-10037,2020-05-10,2020-05-15,Corrective Maintenance,Corrective Maintenance on Cap Application Unit A8 at Hohhot Plant 3,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Closed
SO-200156,SN-10037,2017-02-13,,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Hohhot Plant 3,Routine check OK. Customer asked about available upgrades.,,Technically Complete
SO-200157,SN-10037,2024-08-19,2024-08-20,Kit Installation,Kit Installation on Cap Application Unit A8 at Hohhot Plant 3,Kit installed but validation pending next production run.,3496500-01004,Closed
SO-200158,SN-10038,2023-03-22,2023-03-23,Upgrade,Upgrade on Tetra Pak A3/Speed at Vittel Factory,,3495880-01003,Closed
SO-200159,SN-10038,2023-03-11,2023-03-23,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Vittel Factory,PM completed. Recommended servo motor assessment at next visit.,,Closed
SO-200160,SN-10038,2017-02-10,2017-02-22,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Vittel Factory,Applied kit. Old parts removed and returned.,3495880-01003,Closed
SO-200161,SN-10038,2027-02-15,2027-02-17,Inspection,Inspection on Tetra Pak A3/Speed at Vittel Factory,,,Technically Complete
SO-200162,SN-10038,2018-11-16,2018-11-20,Corrective Maintenance,Corrective Maintenance on Tetra Pak A3/Speed at Vittel Factory,Fixed conveyor jam. Belt tensioner needs attention at next PM.,,Technically Complete
SO-200163,SN-10038,2017-09-07,2017-09-13,Corrective Maintenance,Corrective Maintenance on Tetra Pak A3/Speed at Vittel Factory,Seal replacement done. Machine running but at reduced speed.,,Closed
SO-200164,SN-10038,2025-10-01,2025-10-04,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Vittel Factory,Maintenance done per TPMS schedule. No issues found.,,Technically Complete
SO-200165,SN-10038,2023-11-21,2023-11-23,Inspection,Inspection on Tetra Pak A3/Speed at Vittel Factory,,,Closed
